%,,,,,,,,,,,
M1_atom_number,M2_atom_number,M3_atom_number,Support_ID,M1_mol%,M2_mol%,M3_mol%,Temp,Ar_flow,CH4_flow,O2_flow,CH4_conv
25,11,42,11,40,40,20,750,6,6.8,2.3,25.55
0,0,0,3,0,0,0,900,10.5,3,1.5,41.71
0,0,0,7,0,0,0,750,4,4,2,27.28
65,11,74,11,40,40,20,850,8,8,4,33.86
25,30,42,11,40,40,20,700,7,2,1,2.49
40,11,74,11,40,40,20,775,1.5,7.3,1.2,16.34
25,0,42,11,67,0,33,850,2.3,8.5,4.3,31.18
0,0,0,6,0,0,0,750,14,4.8,1.2,10.07
25,3,42,11,40,40,20,900,4,4.5,1.5,27.52
25,20,74,11,40,40,20,775,1.5,6.4,2.1,22.54
42,11,74,11,40,40,20,800,7,2.4,0.6,20.21
25,19,74,11,40,40,20,775,7,2.4,0.6,24.17
0,0,0,3,0,0,0,775,7,2,1,21.64
0,11,74,11,0,67,33,775,8,8,4,35.68
57,11,74,11,40,40,20,900,8,9.6,2.4,18.33
25,26,42,11,40,40,20,750,7,2.3,0.8,10.33
26,11,74,11,40,40,20,850,1.5,6.8,1.7,15.85
65,11,74,11,40,40,20,750,3,13.6,3.4,10.96
25,19,74,11,40,40,20,850,6,7.2,1.8,16.98
65,11,74,11,40,40,20,850,8,9,3,23.1
23,11,74,11,40,40,20,700,7,2.3,0.8,2.79
25,11,74,5,40,40,20,775,3,14.6,2.4,13.33
25,26,42,11,40,40,20,750,1.5,7.3,1.2,11.68
0,0,0,2,0,0,0,900,8,9.6,2.4,19.75
0,0,0,3,0,0,0,750,14,5.1,0.9,2.86
25,0,74,11,67,0,33,800,10.5,3.6,0.9,19.62
25,26,42,11,40,40,20,800,1.5,6.4,2.1,24.5
25,26,42,11,40,40,20,800,6,6.8,2.3,21.43
60,11,74,11,40,40,20,775,1.5,6.8,1.7,19.95
0,0,0,9,0,0,0,900,7,2,1,40
25,11,74,4,40,40,20,900,8,9.6,2.4,14.1
29,11,74,11,40,40,20,700,8,9.6,2.4,4.74
25,11,74,12,40,40,20,850,3,12.8,4.3,23.58
25,20,74,11,50,25,25,900,8,9,3,26.43
0,0,0,9,0,0,0,850,6,6.8,2.3,24.53
0,11,74,11,0,67,33,775,6,7.7,1.3,12.82
25,3,42,11,40,40,20,850,8,9,3,19.46
23,11,74,11,40,40,20,900,6,6.8,2.3,23.92
57,11,74,11,40,40,20,750,6,7.7,1.3,6.68
